Frame Count,Start Time
0,2024-01-25 08:35:31.879
1,2024-01-25 08:35:33.434
2,2024-01-25 08:35:33.520
3,2024-01-25 08:35:33.539
4,2024-01-25 08:35:33.546
5,2024-01-25 08:35:33.571
6,2024-01-25 08:35:33.582
7,2024-01-25 08:35:33.593
8,2024-01-25 08:35:33.608
9,2024-01-25 08:35:33.619
10,2024-01-25 08:35:33.633
11,2024-01-25 08:35:33.653
12,2024-01-25 08:35:33.668
13,2024-01-25 08:35:33.685
14,2024-01-25 08:35:33.701
15,2024-01-25 08:35:33.715
16,2024-01-25 08:35:33.729
17,2024-01-25 08:35:33.739
18,2024-01-25 08:35:33.749
19,2024-01-25 08:35:33.763
20,2024-01-25 08:35:33.775
21,2024-01-25 08:35:33.791
22,2024-01-25 08:35:33.807
23,2024-01-25 08:35:33.820
24,2024-01-25 08:35:33.852
25,2024-01-25 08:35:33.870
26,2024-01-25 08:35:33.888
27,2024-01-25 08:35:33.901
28,2024-01-25 08:35:33.914
29,2024-01-25 08:35:33.928
30,2024-01-25 08:35:33.942
31,2024-01-25 08:35:33.954
32,2024-01-25 08:35:33.968
33,2024-01-25 08:35:33.979
34,2024-01-25 08:35:33.993
35,2024-01-25 08:35:34.006
36,2024-01-25 08:35:34.020
37,2024-01-25 08:35:34.034
38,2024-01-25 08:35:34.047
39,2024-01-25 08:35:34.065
40,2024-01-25 08:35:34.078
41,2024-01-25 08:35:34.093
42,2024-01-25 08:35:34.106
43,2024-01-25 08:35:34.119
44,2024-01-25 08:35:34.132
45,2024-01-25 08:35:34.145
46,2024-01-25 08:35:34.160
47,2024-01-25 08:35:34.173
48,2024-01-25 08:35:34.184
49,2024-01-25 08:35:34.196
50,2024-01-25 08:35:34.205
51,2024-01-25 08:35:34.219
52,2024-01-25 08:35:34.233
53,2024-01-25 08:35:34.244
54,2024-01-25 08:35:34.257
55,2024-01-25 08:35:34.275
56,2024-01-25 08:35:34.288
57,2024-01-25 08:35:34.305
58,2024-01-25 08:35:34.325
59,2024-01-25 08:35:34.342
60,2024-01-25 08:35:34.358
61,2024-01-25 08:35:34.373
62,2024-01-25 08:35:34.386
63,2024-01-25 08:35:34.405
64,2024-01-25 08:35:34.421
65,2024-01-25 08:35:34.434
66,2024-01-25 08:35:34.445
67,2024-01-25 08:35:34.461
68,2024-01-25 08:35:34.473
69,2024-01-25 08:35:34.487
70,2024-01-25 08:35:34.499
71,2024-01-25 08:35:34.515
72,2024-01-25 08:35:34.529
73,2024-01-25 08:35:34.541
74,2024-01-25 08:35:34.557
75,2024-01-25 08:35:34.571
76,2024-01-25 08:35:34.589
77,2024-01-25 08:35:34.607
78,2024-01-25 08:35:34.622
79,2024-01-25 08:35:34.635
80,2024-01-25 08:35:34.653
81,2024-01-25 08:35:34.667
82,2024-01-25 08:35:34.680
83,2024-01-25 08:35:34.697
84,2024-01-25 08:35:34.711
85,2024-01-25 08:35:34.726
86,2024-01-25 08:35:34.740
87,2024-01-25 08:35:34.755
88,2024-01-25 08:35:34.769
89,2024-01-25 08:35:34.781
90,2024-01-25 08:35:34.796
91,2024-01-25 08:35:34.809
92,2024-01-25 08:35:34.822
93,2024-01-25 08:35:34.839
94,2024-01-25 08:35:34.860
95,2024-01-25 08:35:34.877
96,2024-01-25 08:35:34.890
97,2024-01-25 08:35:34.903
